,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
20,"[ 0.3326258   0.69217104 -0.06106045  2.5211565   0.16939603  2.0651271
 -3.0336473   0.        ]","[  3.8234859 -44.18754    -3.3682573  20.00146     2.8385606  -2.1764426
   0.8743939   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33676055  0.69279367 -0.06112722  2.5251298   0.1752899   2.0500062
 -3.0142972   0.        ]","[-0.04605366  0.01944868  0.0201335  -0.05204578 -0.01174454  0.13812675
 -0.16353332  0.        ]",0.6666667,20,0,20,0
21,"[ 0.3322858   0.6908467  -0.06213807  2.5207765   0.16591151  2.0681586
 -3.0382524   0.        ]","[  1.8928218 -43.251705   -3.5304744  17.8553      2.0206828  -2.1070564
   0.6704896   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33547392  0.6928397  -0.06078974  2.5239258   0.17426021  2.054355
 -3.0197275   0.        ]","[-0.03355583  0.00332134  0.01010099 -0.03297374 -0.02335212  0.1128914
 -0.13679136  0.        ]",0.7,21,0,21,0
22,"[ 0.33235222  0.6903519  -0.06253034  2.5208387   0.16417941  2.0692363
 -3.040701    0.        ]","[  1.4287722 -35.856148   -5.33247    17.081577    1.8597134  -2.3142445
   0.9205744   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.3344174   0.692832   -0.06074756  2.5229325   0.17270514  2.0582054
 -3.024732    0.        ]","[-0.0268789  -0.00013696  0.00191748 -0.02489295 -0.03667173  0.09700374
 -0.12299239  0.        ]",0.73333335,22,0,22,0
23,"[ 0.33212167  0.68983734 -0.06276964  2.5208263   0.16218485  2.071352
 -3.0444498   0.        ]","[  1.3983768  -38.72195     -5.6174126   17.613146     2.082382
  -2.3814023    0.97472453   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33391502  0.6927975  -0.06075906  2.5224147   0.17171957  2.0602262
 -3.027478    0.        ]","[-0.02338636 -0.00075329  0.00020544 -0.02311243 -0.03961642  0.09142251
 -0.11734268  0.        ]",0.76666665,23,0,23,0
24,"[ 0.3331875   0.688662   -0.06453182  2.5220153   0.15789439  2.0701315
 -3.046185    0.        ]","[  1.7267495 -45.786514   -5.8020644  18.342127    1.3769844  -1.4992647
   0.6987233   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33327267  0.6924619  -0.06107353  2.5217264   0.169386    2.063444
 -3.0318458   0.        ]","[-0.01883235 -0.00653996 -0.00582091 -0.01992805 -0.05646282  0.08724516
 -0.11611002  0.        ]",0.8,24,0,24,0
25,"[ 0.33338633  0.68721944 -0.06625436  2.522074    0.15389326  2.0722466
 -3.0482957   0.        ]","[  2.078839  -47.378693    1.962888   18.451763    1.7417159  -1.7660351
   1.2606853   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33293328  0.6919864  -0.06148579  2.5213966   0.16762383  2.065465
 -3.0350385   0.        ]","[-0.01585342 -0.01417563 -0.01270328 -0.01629855 -0.0684128   0.08762181
 -0.12734094  0.        ]",0.8333333,25,0,25,0
26,"[ 0.333243    0.6868745  -0.06617847  2.522297    0.15307623  2.0724187
 -3.050853    0.        ]","[ -9.640394   -44.522045     2.2867227    9.983512     1.6134814
  -2.3257356    0.38218838   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33264375  0.6910296  -0.06216457  2.5212126   0.16499881  2.0678234
 -3.03891     0.        ]","[-0.00886833 -0.02290699 -0.01729153 -0.00681389 -0.06666653  0.06646109
 -0.10539269  0.        ]",0.8666667,26,0,26,0
27,"[ 0.33291525  0.68644404 -0.06629894  2.5217433   0.15184456  2.073771
 -3.0537481   0.        ]","[  3.8815575  -53.590908     0.68048465  21.974174    -6.6284013
   1.7651924   -3.1632304    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33264375  0.6903719  -0.0627053   2.5212317   0.16325007  2.0684848
 -3.0409713   0.        ]","[-0.00410888 -0.027461   -0.02071559 -0.00205444 -0.07204231  0.04869019
 -0.09799672  0.        ]",0.9,27,0,27,0
28,"[ 0.33382073  0.6852222  -0.06831673  2.5214744   0.14663863  2.0749094
 -3.0567317   0.        ]","[-6.3353950e-01 -4.1771923e+01  1.8664834e+00  1.5276139e+01
  1.1957794e+00 -1.0569198e+00  3.9545922e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.3326725   0.6892291  -0.06380018  2.5213716   0.16018786  2.069576
 -3.043813    0.        ]","[ 0.00051361 -0.03002904 -0.02756372  0.00284197 -0.07854804  0.02879638
 -0.0790274   0.        ]",0.93333334,28,0,28,0
29,"[ 0.33413234  0.6849242  -0.0690157   2.521427    0.14406101  2.0758803
 -3.0596507   0.        ]","[ -1.9292558 -45.859856    2.416833   19.714321    2.0604837  -1.5696393
   1.0459555   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33277604  0.68840075 -0.06478193  2.5215442   0.1572292   2.0708396
 -3.046829    0.        ]","[ 0.0021914  -0.02266731 -0.02568048  0.00448552 -0.0733777   0.0309193
 -0.07437067  0.        ]",0.96666664,29,0,29,0
