,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index,next.done
20,"[ 1.13299975e-05  7.53802657e-01  1.15440562e-02  2.56011677e+00
  5.37434399e-01  2.13731599e+00 -2.04467201e+00  0.00000000e+00]","[  1.9052488 -45.921326   -2.3613858  17.10046     1.1885136  -2.3910344
  -0.8258364   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.00668432  0.76100594  0.00711767  2.564605    0.52824545  2.1186192
 -2.0526946   0.        ]","[-0.03379551 -0.04872444  0.02489295 -0.03444609  0.05707915  0.10840587
  0.070433    0.        ]",0.6666667,20,24,8796,0,False
21,"[-2.4357956e-04  7.5175267e-01  1.0014819e-02  2.5617428e+00
  5.3404850e-01  2.1400964e+00 -2.0462923e+00  0.0000000e+00]","[  2.0209684 -45.384018    7.53212    16.645658    7.569802   -0.7681128
   0.1457307   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.00580995  0.7596139   0.0075817   2.563765    0.5293557   2.121716
 -2.0510206   0.        ]","[-0.02194825 -0.03359007  0.012806   -0.02054439  0.0299948   0.07399403
  0.04194479  0.        ]",0.7,21,24,8797,0,False
22,"[-6.6193205e-04  7.5054222e-01  9.5276795e-03  2.5614667e+00
  5.3331006e-01  2.1433260e+00 -2.0449550e+00  0.0000000e+00]","[  0.88371617 -56.870953     2.0428917   13.794975    -1.4836648
   1.9202515    3.4108927    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.00543604  0.75879127  0.00758362  2.5634258   0.5293557   2.123992
 -2.0502727   0.        ]","[-0.01900356 -0.03485698  0.00602635 -0.01742849  0.01441531  0.08614945
  0.0369799   0.        ]",0.73333335,22,24,8798,0,False
23,"[-2.3465173e-03  7.4957001e-01  1.1290056e-02  2.5605559e+00
  5.3637296e-01  2.1471748e+00 -2.0444107e+00  0.0000000e+00]","[-11.712295  -58.081017    1.4237373   8.861088    2.196192    2.801902
   2.756089    0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.00414558  0.75710964  0.00813393  2.5625858   0.53060776  2.1284328
 -2.0485816   0.        ]","[-0.02848822 -0.04208175  0.00982706 -0.01996229  0.02235914  0.1127202
  0.04105453  0.        ]",0.76666665,23,24,8799,0,False
24,"[-0.00290929  0.7494216   0.01188068  2.5607755   0.53773475  2.1467135
 -2.0442889   0.        ]","[  1.1128803  -45.93576     -1.7177311   16.709692     0.8759854
  -2.3045127   -0.34346926   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.00327697  0.7561969   0.0087341   2.5621371   0.531881    2.1305497
 -2.0477588   0.        ]","[-0.0360554  -0.04016427  0.02054439 -0.02064711  0.04509493  0.10234528
  0.04006155  0.        ]",0.8,24,24,8800,0,False
25,"[-0.00349737  0.7486666   0.01186792  2.5610933   0.53788733  2.147564
 -2.0440953   0.        ]","[-11.806072  -57.8165      8.799636    8.820448    1.3567882   2.8984628
   3.7206354   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 1.0680341e-03  7.5357765e-01  9.7043458e-03  2.5614929e+00
  5.3369302e-01  2.1369331e+00 -2.0463073e+00  0.0000000e+00]","[-0.03708262 -0.04348562  0.01557949 -0.01030643  0.02869366  0.10833739
  0.02372877  0.        ]",0.8333333,25,24,8801,0,False
26,"[-0.0051111  0.7465977  0.012102   2.561443   0.5379265  2.1530778
 -2.043989   0.       ]","[  2.4852293  -47.37178     -1.1305941   17.06584      1.2140888
  -1.5200069    0.28514796   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 4.1225733e-04  7.5287396e-01  9.9478653e-03  2.5613682e+00
  5.3416854e-01  2.1386356e+00 -2.0459795e+00  0.0000000e+00]","[-0.03790439 -0.04485524  0.0129772  -0.00828624  0.02366028  0.11155602
  0.02150312  0.        ]",0.8666667,26,24,8802,0,False
27,"[-0.0061036   0.7447318   0.01182808  2.5616589   0.53649837  2.1582546
 -2.0453281   0.        ]","[ 2.8915110e+00 -4.6998379e+01 -6.8509924e-01  1.5153467e+01
  1.3612555e+00 -1.5893776e+00 -4.3466143e-02  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[-9.7791280e-04  7.5141281e-01  1.0571045e-02  2.5612130e+00
  5.3541487e-01  2.1419108e+00 -2.0453045e+00  0.0000000e+00]","[-0.03917129 -0.04177358  0.0162643  -0.00561547  0.03228893  0.09679829
  0.01941444  0.        ]",0.9,27,24,8803,0,False
28,"[-0.0088865   0.7434177   0.01377548  2.5622544   0.5395438   2.1616533
 -2.0475655   0.        ]","[  3.4657435  -46.52811     -1.2027997    9.642756     0.73423535
  -2.1393847   -0.49754837   0.        ]",[0. 0. 0. 0. 0. 0.],"[-1.9980101e-03  7.5021631e-01  1.0981385e-02  2.5611784e+00
  5.3618956e-01  2.1445992e+00 -2.0448444e+00  0.0000000e+00]","[-0.03365855 -0.03776743  0.01455227 -0.00212292  0.02852246  0.08402654
  0.01612734  0.        ]",0.93333334,28,24,8804,0,False
29,"[-0.00869538  0.74243563  0.01254652  2.5630465   0.53670794  2.1636357
 -2.048709    0.        ]","[-1.11904602e+01 -5.64021339e+01  9.07226562e+00  1.20296955e+01
  7.92013025e+00  2.64444113e+00  1.44165626e-03  0.00000000e+00]",[0. 0. 0. 0. 0. 0.],"[-0.00341311  0.7483621   0.01139556  2.5611784   0.53664786  2.1490993
 -2.0446756   0.        ]","[-0.03365855 -0.0435541   0.01099125 -0.00020544  0.01468924  0.10309857
  0.00684813  0.        ]",0.96666664,29,24,8805,0,False
