,action,observation.effort,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
21,"[-0.75938034 -0.4524692   0.47756544  1.4634659   0.16193525  1.6323588
 -0.4074039   0.        ]","[ 9.8676796e+00 -1.9302244e+01  3.6909902e+00  1.8065336e+01
  2.1201000e+00  3.3758646e-01 -8.8831289e-03  0.0000000e+00]","[-0.7688714  -0.4351712   0.46335617  1.4737068   0.1552542   1.6248807
 -0.4211717   0.        ]","[ 0.02348908 -0.04081485  0.03550754 -0.03489121  0.01602462  0.02633105
  0.03485698  0.        ]",0.7,21,124,74421,0
22,"[-0.7580949  -0.45550326  0.47962862  1.4608487   0.16324063  1.6334157
 -0.40432805  0.        ]","[-1.1608193  -9.231404   -6.577026   10.601623   -1.3461815  -3.320315
  0.26558408  0.        ]","[-0.7675254  -0.43764472  0.4655996   1.4715152   0.15627238  1.6262344
 -0.41901836  0.        ]","[ 0.02253034 -0.04112301  0.03759623 -0.03653476  0.01653823  0.02235914
  0.03574723  0.        ]",0.73333335,22,124,74422,0
23,"[-0.7529621  -0.46418965  0.48751324  1.454463    0.16672513  1.6365826
 -0.39715254  0.        ]","[  0.29007027 -10.336959    -4.90269     19.076653    -0.5661932
  -3.6352603    0.28101355   0.        ]","[-0.76611984 -0.44024098  0.46774334  1.4698527   0.15725413  1.6274942
 -0.416819    0.        ]","[ 0.03228893 -0.05861998  0.05019678 -0.04047244  0.02222218  0.02852246
  0.04971741  0.        ]",0.76666665,23,124,74423,0
24,"[-0.7511084  -0.4678201   0.49052024  1.4518056   0.16822268  1.63775
 -0.39388344  0.        ]","[-1.2800046e+00 -8.8087158e+00 -6.0483146e+00  1.7814194e+01
 -9.4462681e-01 -2.6107893e+00 -1.2897464e-02  0.0000000e+00]","[-0.76228875 -0.44714388  0.47323117  1.4664894   0.1599079   1.6302419
 -0.41152295  0.        ]","[ 0.04211599 -0.07710993  0.06337943 -0.03728806  0.03033721  0.03013176
  0.05974992  0.        ]",0.8,24,124,74424,0
25,"[-0.7489963  -0.47787318  0.49471888  1.4424322   0.17285568  1.6391726
 -0.38276985  0.        ]","[ -6.1322002  -0.8943348 -11.2451315  17.36588    -2.6153092  -3.257416
  -0.919111    0.       ]","[-0.7515183  -0.4669495   0.4897272   1.4526951   0.16782708  1.6373538
 -0.39482749  0.        ]","[ 0.03067962 -0.05536712  0.04273232 -0.03389823  0.02040742  0.01766817
  0.0404382   0.        ]",0.8333333,25,124,74425,0
26,"[-0.73413384 -0.50488776  0.51078916  1.4477063   0.18135367  1.6525999
 -0.36910343  0.        ]","[ -5.67995     -0.22433476 -12.133282    18.411604     1.8321435
  -0.87073416  -0.933111     0.        ]","[-0.75122875 -0.46759185  0.49026603  1.4522004   0.16804184  1.6375859
 -0.39429635  0.        ]","[ 0.0104434  -0.02044166  0.0168464  -0.01369626  0.00695085  0.00681389
  0.01640127  0.        ]",0.8666667,26,124,74426,0
27,"[-0.7261908  -0.52145094  0.5185314   1.4526421   0.18674754  1.6603653
 -0.3602664   0.        ]","[-6.8524499e+00 -2.1505847e+00 -1.2849531e+01  1.7899361e+01
  1.8321435e+00 -8.7073416e-01 -7.1563496e-04  0.0000000e+00]","[-0.75110024 -0.46768582  0.49045777  1.4520164   0.16814156  1.6376511
 -0.3941276   0.        ]","[ 0.00506762 -0.00818351  0.00962162 -0.0085944   0.00393767  0.00349255
  0.00897105  0.        ]",0.9,27,124,74427,0
28,"[-0.7250133  -0.5263929   0.52026606  1.4504184   0.1892316   1.6621917
 -0.35530487  0.        ]","[-1.052982   -8.79345    -4.4015403  13.443451    0.08109865 -3.4623306
 -0.9905957   0.        ]","[-0.75014156 -0.47274604  0.4924903   1.4475026   0.1705595   1.6387651
 -0.388193    0.        ]","[ 0.01708608 -0.0892996   0.03708262 -0.07515821  0.04208175  0.01866115
  0.10049628  0.        ]",0.93333334,28,124,74428,0
29,"[-0.718696   -0.5387717   0.52904505  1.4466335   0.19486015  1.6690726
 -0.3444568   0.        ]","[ 21.30244   -36.7292     13.1225395  16.534988    9.079049    0.8563919
   4.3109226   0.       ]","[-0.7482164  -0.4772713   0.4950923   1.446797    0.17229672  1.6407938
 -0.3847895   0.        ]","[ 0.04968317 -0.1524051   0.07738385 -0.07180263  0.06382456  0.05228546
  0.13891429  0.        ]",0.96666664,29,124,74429,0
30,"[-0.7157817  -0.5462806   0.53280383  1.4439071   0.19873616  1.6740956
 -0.33662733  0.        ]","[  4.4291162  -20.434546    -3.3459985   26.222818     1.0575626
  -2.8756065    0.37256566   0.        ]","[-0.7416164  -0.49048653  0.50261074  1.4472975   0.17683922  1.6467687
 -0.37685305  0.        ]","[ 1.4692660e-01 -3.0217367e-01  1.7483272e-01 -3.4240642e-05
  1.0775530e-01  1.3850340e-01  1.9332267e-01  0.0000000e+00]",1.0,30,124,74430,0
31,"[-0.71425796 -0.55244124  0.5355577   1.4412012   0.20231992  1.6783184
 -0.32919234  0.        ]","[  0.6638604 -11.917219   -5.4440336  28.762018   -0.8306207  -2.6883361
  -1.3646489   0.       ]","[-0.7367556  -0.5000394   0.50739676  1.4486818   0.17980556  1.6506227
 -0.37185228  0.        ]","[ 0.18294775 -0.36034852  0.19684945  0.03540482  0.12015042  0.15490466
  0.20499873  0.        ]",1.0333333,31,124,74431,0
32,"[-0.71040684 -0.5603948   0.541516    1.4362621   0.20655513  1.6824768
 -0.32078788  0.        ]","[  8.230859   -13.81302      0.33909276  23.337013     5.326085
  -0.13089071   3.2968254    0.        ]","[-0.73223037 -0.5098147   0.51242435  1.4497806   0.18311512  1.6548125
 -0.36602506  0.        ]","[ 0.16760795 -0.34514567  0.17524362  0.04434163  0.11206962  0.14363949
  0.1933569   0.        ]",1.0666667,32,124,74432,0
33,"[-0.7085606  -0.5659752   0.54470414  1.4326924   0.21024321  1.685838
 -0.3134459   0.        ]","[-2.1383238e+00  5.9341736e+00 -9.3963966e+00  1.6697702e+01
 -1.0424374e+00 -3.9744675e+00  1.4155373e-02  0.0000000e+00]","[-0.72764    -0.5205276   0.51800615  1.4495869   0.18713415  1.659819
 -0.35858527  0.        ]","[ 0.12210213 -0.2797803   0.14244108  0.00462249  0.09946907  0.12556043
  0.18428314  0.        ]",1.1,33,124,74433,0
34,"[-0.70497113 -0.5730128   0.5512224   1.428147    0.21455358  1.6889491
 -0.30519485  0.        ]","[ 4.2478127 -9.693264  -5.0242577 13.634754   3.6857545  0.8656257
  2.8823144  0.       ]","[-0.72083676 -0.5343776   0.5263951   1.4472533   0.19321638  1.6670805
 -0.347253    0.        ]","[ 0.1127202  -0.22735786  0.13843492 -0.03971915  0.09799672  0.11980801
  0.18688543  0.        ]",1.1333333,34,124,74434,0
35,"[-0.7029223  -0.5775144   0.5553139   1.4248605   0.21756935  1.6908333
 -0.29900736  0.        ]","[ 1.1049131 -8.856808  -7.5009484 20.553009  -0.0931951 -3.1943254
 -0.3415555  0.       ]","[-0.71802187 -0.54247314  0.5304678   1.4441566   0.19746935  1.6723459
 -0.33866078  0.        ]","[ 0.06053746 -0.16798459  0.08803269 -0.06187284  0.08731364  0.10748138
  0.1794552   0.        ]",1.1666666,35,124,74435,0
36,"[-0.7002401  -0.5831652   0.561371    1.4207401   0.22196275  1.6928055
 -0.29061866  0.        ]","[ 0.55216306 -8.170057   -6.9852486  18.303984   -0.5086201  -3.1523254
 -0.2995555   0.        ]","[-0.7163019  -0.5466666   0.53293943  1.4423945   0.19969362  1.6748079
 -0.33426207  0.        ]","[ 0.06772799 -0.18411194  0.1000854  -0.0738913   0.09768856  0.11456919
  0.19811636  0.        ]",1.2,36,124,74436,0
37,"[-0.6984925  -0.58857006  0.5662167   1.4157445   0.2262403   1.6942258
 -0.28202793  0.        ]","[-3.8283606   0.07405018 -7.617424   16.22079    -1.5664964  -2.782731
 -0.4074037   0.        ]","[-0.7115044  -0.5581332   0.5398673   1.4370716   0.20570491  1.6811835
 -0.32229704  0.        ]","[ 0.07930133 -0.18965892  0.11450071 -0.08628642  0.09943482  0.10234528
  0.1981506   0.        ]",1.2333333,37,124,74437,0
38,"[-0.69566035 -0.5926227   0.57396936  1.4102962   0.22979107  1.6945246
 -0.2749574   0.        ]","[-2.475403   -0.12893653 -8.774555   16.33229    -0.90195245 -3.679852
 -0.8862385   0.        ]","[-0.70880073 -0.56489223  0.54449415  1.4331235   0.20965682  1.6849859
 -0.31458494  0.        ]","[ 0.06368759 -0.1605886   0.10631719 -0.08882023  0.09306607  0.08796421
  0.18229719  0.        ]",1.2666667,38,124,74438,0
39,"[-0.6940569  -0.5969295   0.57825506  1.4061095   0.23326452  1.6951841
 -0.2679707   0.        ]","[ -2.6116984  -3.101494  -11.338003   17.212004   -1.1759142   0.1126909
  -0.5110352   0.       ]","[-0.70648634 -0.56976265  0.54879695  1.4300939   0.21269219  1.6872082
 -0.30872896  0.        ]","[ 0.06409848 -0.13881156  0.11737692 -0.08447167  0.08532768  0.06646109
  0.16480021  0.        ]",1.3,39,124,74439,0
40,"[-0.6930491  -0.6012754   0.5812993   1.402102    0.23671226  1.6953119
 -0.26092216  0.        ]","[ 0.5579766  -4.7159452  -8.173306   16.915928   -0.74254185 -3.149715
  0.08073287  0.        ]","[-0.70343757 -0.5766464   0.5552493   1.4252024   0.21746095  1.6902379
 -0.29907066  0.        ]","[ 0.05961296 -0.13384667  0.1225815  -0.09282638  0.09022409  0.05772972
  0.18243414  0.        ]",1.3333334,40,124,74440,0
41,"[-0.68915117 -0.608132    0.58997345  1.396092    0.24124293  1.6960868
 -0.2525484   0.        ]","[-4.129387    1.7408135  -9.086016   16.97913    -1.4463654  -3.2790306
 -0.17276885  0.        ]","[-0.6992728  -0.58606505  0.5644033   1.4175785   0.22429484  1.693231
 -0.285493    0.        ]","[ 0.04714936 -0.10802922  0.10761834 -0.09053226  0.07731537  0.03013176
  0.15743847  0.        ]",1.3666667,41,124,74441,0
42,"[-0.68599427 -0.6139462   0.5970713   1.391371    0.24539058  1.6964546
 -0.24497113  0.        ]","[ 12.22631    -14.889921     3.3651147    9.103053     6.870953
  -0.22979389   3.5095205    0.        ]","[-0.6975663  -0.5897658   0.56943095  1.4134157   0.22747593  1.6939232
 -0.27911547  0.        ]","[ 0.03787015 -0.08180089  0.11155602 -0.09221005  0.06909762  0.01646975
  0.1423726   0.        ]",1.4,42,124,74442,0
43,"[-0.6850556  -0.6169835   0.59979856  1.3884373   0.2478202   1.6960201
 -0.24006246  0.        ]","[ -1.8860139  -3.6102793 -11.885371   18.95008    -1.3509742  -3.6582072
   0.2938857   0.       ]","[-0.6966938  -0.59159505  0.57176256  1.4114195   0.22904634  1.6942396
 -0.27610695  0.        ]","[ 0.03995883 -0.08594401  0.11689755 -0.0984076   0.07461036  0.01581918
  0.14925496  0.        ]",1.4333333,43,124,74443,0
44,"[-0.6805218  -0.6251438   0.6100337   1.381885    0.25356293  1.6963892
 -0.22992119  0.        ]","[ -3.3654428    0.71670485 -13.655327    19.526936    -2.2532482
  -3.497932    -1.041993     0.        ]","[-0.69506013 -0.5957809   0.57609993  1.4073181   0.23246136  1.6947113
 -0.2693862   0.        ]","[ 0.0407806  -0.09929787  0.11090544 -0.10186591  0.08388957  0.01287448
  0.16356754  0.        ]",1.4666667,44,124,74444,0
