Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_hand_ring_link1,0.000530417592106638,3.58049083593742E-05,0.0332784671157222,0,0,0,0.0143714276805089,4.26829701084996E-06,-1.14489065194259E-09,-2.45678905173165E-08,4.3729354156505E-06,8.28615019171033E-08,6.71137965532428E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_link1.STL,,MH2.25-V3.0-09-3,lrf1,e1,left_hand_ring_joint1,revolute,0.0065,0.016,0.1052,0,0,0,left_hand_link,0,1,0,1.1,8.63,0,1.919,,,0,0,,,,
left_hand_ringback_link1,-0.0115948037724185,-0.000148033973560953,-0.024123408635586,0,0,0,1.86553658308171E-08,5.3844556436007E-12,-7.13782201235968E-15,1.7237076050034E-13,5.02993874029554E-12,-6.91799215641287E-14,5.90796100947806E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ringback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ringback_link1.STL,,MH2.25-V3.0-10-3,lrf2,e2,left_hand_ringback_joint1,fixed,0,0,0.0557999999999999,0,0,0,left_hand_ring_link1,0,0,0,,,,,,,0,0,,,,
left_hand_ring_link2,0.00119905190206878,-0.000248361662017488,0.0213789854478662,0,0,0,0.00686452036118606,1.04676034174023E-06,4.14854476394396E-09,3.45471669068667E-08,1.0036615423044E-06,2.81534228771465E-08,2.85700266317805E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_link2.STL,,MH2.25-V3.0-11-3,lrf2,e2,left_hand_ring_joint2,revolute,0,0,0.0558,0,0,0,left_hand_ring_link1,0,1,0,0.4,14.38,0,1.919,,,0,0,,,,
left_hand_ringback_link2,-0.00758843721876292,0.000157950438630702,-0.0176655210856099,0,0,0,1.14812654431997E-08,1.25439855777332E-12,7.31454960873476E-15,9.24914678778305E-14,9.89430795195637E-13,-2.8181403108809E-14,3.86109183033914E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ringback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ringback_link2.STL,,MH2.25-V3.0-12-3,lrf3,e3,left_hand_ringback_joint2,fixed,0,0,0.0422482924089406,0,0,0,left_hand_ring_link2,0,0,0,,,,,,,0,0,,,,
left_hand_ring_tip,8.56086035394554E-16,-1.01654795692241E-15,-1.94289029309402E-16,0,0,0,5.65450977765344E-06,1.49608904533747E-11,6.57505798517359E-26,3.05107613693326E-43,6.36132349986012E-12,1.58349238484475E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_ring_tip.STL,,MH2.25-V3.0-13-3,lrf3,e3,left_hand_ring_joint3,fixed,0,0,0.0422482924089406,0,0,0,left_hand_ring_link2,0,0,0,,,,,,,0,0,,,,
left_hand_pinky_link1,0.000530417592107322,3.58049083593395E-05,0.0332784671157223,0,0,0,0.0143714276805089,4.26829701084995E-06,-1.14489065194238E-09,-2.45678905173132E-08,4.37293541565049E-06,8.28615019171022E-08,6.71137965532428E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_link1.STL,,MH2.25-V3.0-09-4,llf1,f1,left_hand_pinky_joint1,revolute,0.0065,0.036,0.1022,0,0,0,left_hand_link,0,1,0,1.1,8.63,0,1.919,,,0,0,,,,
left_hand_pinkyback_link1,-0.0115948040789513,-0.000148034863564427,-0.0241234082030784,0,0,0,1.86553704982166E-08,5.38445588791399E-12,-7.13780983507431E-15,1.72370775187124E-13,5.02993890383118E-12,-6.91800103618016E-14,5.9079619401247E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinkyback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinkyback_link1.STL,,MH2.25-V3.0-10-4,llf2,f2,left_hand_pinkyback_joint1,fixed,0,0,0.0558,0,0,0,left_hand_pinky_link1,0,0,0,,,,,,,0,0,,,,
left_hand_pinky_link2,0.00119905190206892,-0.000248361662017089,0.021378985447866,0,0,0,0.00686452036118545,1.04676034174021E-06,4.14854476395609E-09,3.4547166906851E-08,1.00366154230437E-06,2.81534228771564E-08,2.85700266317777E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_link2.STL,,MH2.25-V3.0-11-4,llf2,f2,left_hand_pinky_joint2,revolute,0,0,0.0558,0,0,0,left_hand_pinky_link1,0,1,0,0.4,14.38,0,1.919,,,0,0,,,,
left_hand_pinkyback_link2,-0.00758843721876646,0.000157950438616029,-0.0176655210856331,0,0,0,1.14812654431825E-08,1.25439855776218E-12,7.31454960825336E-15,9.24914678767024E-14,9.89430795186733E-13,-2.81814031107646E-14,3.86109183031313E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinkyback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinkyback_link2.STL,,MH2.25-V3.0-12-4,llf3,f3,left_hand_pinkyback_joint2,fixed,0,0,0.042248,0,0,0,left_hand_pinky_link2,0,0,0,,,,,,,0,0,,,,
left_hand_pinky_tip,2.1163626406917E-15,-8.32667268468867E-17,-5.55111512312578E-17,0,0,0,5.65450977765345E-06,1.49608904533748E-11,5.39739566461855E-26,-2.36937820512415E-28,6.36132349986013E-12,-1.34901313520848E-27,1.49608904533748E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_pinky_tip.STL,,MH2.25-V3.0-13-4,llf3,f3,left_hand_pinky_joint3,fixed,0,0,0.0422482924089406,0,0,0,left_hand_pinky_link2,0,0,0,,,,,,,0,0,,,,
